X_Local,Y_Local,Z_Local,Mean_Amplitude
-5.3535751464199475,8.625511141401114,0.0,5783.448924022669
-5.432888038735823,8.575776166468044,0.0,6009.763148056071
-5.5122009768279225,8.525013178280572,0.0,6448.2744431091405
-5.5915139631726785,8.473203697447918,0.0,6925.324482334095
-5.670827000420065,8.420328403934544,0.0,7281.013086077346
-5.750140091409283,8.366367086613387,0.0,7483.148828442748
-5.829453239186168,8.311298588724991,0.0,7515.521360373538
-5.908766447022548,8.255100748830426,0.0,7260.265471114358
-5.988079718437814,8.197750336795687,0.0,6653.316006250656
-6.067393057223004,8.13922298428801,0.0,6001.951863374556
-6.14670646746774,8.079493109198769,0.0,5960.431689789144
-6.226019953590439,8.01853383333224,0.0,6853.132479993964
-6.305333520372254,7.956316892612446,0.0,8320.468543056413
-6.384647172995313,7.892812538959928,0.0,9750.86062052673
-6.463960917085871,7.8279894328739665,0.0,10617.882447899845
-6.543274758763178,7.761814525620461,0.0,10721.41248404139
-6.622588704694909,7.694252929768265,0.0,10170.005661698133
-6.701902762160265,7.62526777663242,0.0,9279.986157847736
-6.781216939121965,7.554820058966688,0.0,8365.623955115316
-6.860531244308661,7.482868456993265,0.0,7612.377683538537
-6.939845687309553,7.409369145556935,0.0,6968.386430583929
-7.019160278683389,7.334275579834278,0.0,6345.611241703344
-7.098475030084442,7.257538256603805,0.0,5727.661558267705
-7.177789954408668,7.179104447574929,0.0,5255.619355641656
-7.257105065963875,7.098917900663563,0.0,5173.1485422057485
-7.336420380668675,7.016918504365674,0.0,5516.672427791095
-7.4157359162860415,6.933041909487158,0.0,6022.342967616128
-7.495051692698715,6.847219101399797,0.0,6453.195610089623
-7.574367732235467,6.7593759146588575,0.0,6636.5523740212475
-7.653684060059536,6.669432480173309,0.0,6590.213414913041
-7.733000704633508,6.577302593080068,0.0,6378.634467269396
-7.812317698278793,6.482892986927985,0.0,6028.36796741644
-7.891635077852943,6.386102496578103,0.0,5599.0230768012825
-7.970952885574817,6.286821088176967,0.0,5238.06429951484
-8.050271170036691,6.1849287293934285,0.0,5009.249474488061
-8.129589987454647,6.0802940664639955,0.0,4854.326839899971
-8.20890940322538,5.972772865967535,0.0,4735.7667893483895
-8.288229493880776,5.862206167951188,0.0,4659.982182218276
-8.367550349564084,5.748418082073544,0.0,4701.873366333252
-8.44687207719773,5.6312131384149735,0.0,4858.969284878126
-8.526194804579104,5.510373077493791,0.0,5035.492152024242
-8.605518685737882,5.3856529268247755,0.0,5221.864400428513
-8.684843908032763,5.256776159577876,0.0,5425.442436175794
